10-Jun-16,,,,,,,,,,,
iShares Core S&P Small-Cap ETF,,,,,,,,,,,
Inception Date,22-May-00,,,,,,,,,,
Fund Holdings as of,10-Jun-16,,,,,,,,,,
Total Net Assets,"$18,274,675,549 ",,,,,,,,,,
Number of Securities,606,,,,,,,,,,
Shares Outstanding,"156,050,000",,,,,,,,,,
,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
CRUS,CIRRUS LOGIC INC.,Equity,0.37,37.15,"1,834,961.00","68,168,801.15","68,168,801.15",Information Technology,"2,197,308.00",US1727551004,NASDAQ
MASI,MASIMO CORP.,Equity,0.37,52.1,"1,294,679.00","67,452,775.90","67,452,775.90",Health Care,B1YWR63,US5747951003,NASDAQ
SJI,SOUTH JERSEY INDUSTRIES INC.,Equity,0.36,30.08,"2,210,947.00","66,505,285.76","66,505,285.76",Utilities,"2,825,933.00",US8385181081,New York Stock Exchange Inc.
COHR,COHERENT INC.,Equity,0.36,94.5,"703,358.00","66,467,331.00","66,467,331.00",Information Technology,"2,208,374.00",US1924791031,NASDAQ
IBKR,INTERACTIVE BROKERS GROUP INC.,Equity,0.36,39.02,"1,692,645.00","66,047,007.90","66,047,007.90",Financials,B1WT4X2,US45841N1072,NASDAQ
CHE,CHEMED CORP.,Equity,0.36,132.09,"493,751.00","65,219,569.59","65,219,569.59",Health Care,"2,190,084.00",US16359R1032,New York Stock Exchange Inc.
TCBI,TEXAS CAPITAL BANCSHARES INC.,Equity,0.36,48.68,"1,333,924.00","64,935,420.32","64,935,420.32",Financials,"2,977,209.00",US88224Q1076,NASDAQ
FFIN,FIRST FINANCIAL BANKSHARES INC.,Equity,0.35,33.65,"1,919,226.00","64,581,954.90","64,581,954.90",Financials,"2,266,026.00",US32020R1095,NASDAQ
IPXL,IMPAX LABORATORIES INC.,Equity,0.35,32.45,"1,983,914.00","64,378,009.30","64,378,009.30",Health Care,"2,373,722.00",US45256B1017,NASDAQ
IART,INTEGRA LIFESCIENCES HOLDINGS CORP,Equity,0.35,76.68,"838,903.00","64,327,082.04","64,327,082.04",Health Care,"2,248,693.00",US4579852082,NASDAQ
MKSI,MKS INSTRUMENTS INC.,Equity,0.35,41.15,"1,548,169.00","63,707,154.35","63,707,154.35",Information Technology,"2,404,871.00",US55306N1046,NASDAQ
CUZ,COUSINS PROPERTIES REIT INC,Equity,0.35,10.9,"5,838,823.00","63,643,170.70","63,643,170.70",Financials,"2,229,922.00",US2227951066,New York Stock Exchange Inc.
EGP,EASTGROUP PROPERTIES INC.,Equity,0.35,68,"934,205.00","63,525,940.00","63,525,940.00",Financials,"2,455,761.00",US2772761019,New York Stock Exchange Inc.
SANM,SANMINA CORP.,Equity,0.34,28.04,"2,243,365.00","62,903,954.60","62,903,954.60",Information Technology,B92RRW2,US8010561020,NASDAQ
NKTR,NEKTAR THERAPEUTICS,Equity,0.34,15.8,"3,951,295.00","62,430,461.00","62,430,461.00",Health Care,"2,454,445.00",US6402681083,NASDAQ
KRG,KITE REALTY GROUP TRUST REIT,Equity,0.34,25.72,"2,424,591.00","62,360,480.52","62,360,480.52",Financials,BPBSZJ1,US49803T3005,New York Stock Exchange Inc.
WAGE,WAGEWORKS INC,Equity,0.34,59.19,"1,044,702.00","61,835,911.38","61,835,911.38",Industrials,B6WG4R2,US9304271094,New York Stock Exchange Inc.
EFII,ELECTRONICS FOR IMAGING INC.,Equity,0.33,44.33,"1,370,176.00","60,739,902.08","60,739,902.08",Information Technology,"2,310,202.00",US2860821022,NASDAQ
SLCA,US SILICA HOLDINGS INC,Equity,0.33,33.62,"1,805,657.00","60,706,188.34","60,706,188.34",Energy,B7GGNT0,US90346E1038,New York Stock Exchange Inc.
ABM,ABM INDUSTRIES INC.,Equity,0.33,37.3,"1,625,705.00","60,638,796.50","60,638,796.50",Industrials,"2,024,901.00",US0009571003,New York Stock Exchange Inc.
SIGI,SELECTIVE INSURANCE GROUP INC.,Equity,0.33,37.55,"1,612,400.00","60,545,620.00","60,545,620.00",Financials,"2,766,173.00",US8163001071,NASDAQ
ROIC,RETAIL OPPORTUNITY INVESTMENTS COR,Equity,0.33,20.85,"2,894,583.00","60,352,055.55","60,352,055.55",Financials,B28YD08,US76131N1019,NASDAQ
CORE,CORE-MARK HOLDING CO. INC.,Equity,0.33,89.5,"672,620.00","60,199,490.00","60,199,490.00",Consumer Discretionary,B0637B2,US2186811046,NASDAQ
