09-Jun-2016,,,,,,,,,,,
iShares Core S&P 500 ETF,,,,,,,,,,,
Inception Date,15-May-00,,,,,,,,,,
Fund Holdings as of,09-Jun-16,,,,,,,,,,
Total Net Assets,"$73,983,668,859",,,,,,,,,,
Number of Securities,509,,,,,,,,,,
Shares Outstanding,"347,150,000",,,,,,,,,,
,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
BMY,BRISTOL MYERS SQUIBB,Equity,0.66,72.73,"6,684,428.00","486,158,448.44","486,158,448.44",Health Care,"2,126,335.00",US1101221083,New York Stock Exchange Inc.
MDT,MEDTRONIC PLC,Equity,0.65,85.78,"5,630,169.00","482,955,896.82","482,955,896.82",Health Care,BTN1Y11,IE00BTN1Y115,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,0.64,156.78,"3,011,338.00","472,117,571.64","472,117,571.64",Health Care,"2,023,607.00",US0311621009,NASDAQ
GILD,GILEAD SCIENCES INC,Equity,0.63,85.77,"5,472,770.00","469,399,482.90","469,399,482.90",Health Care,"2,369,174.00",US3755581036,NASDAQ
WMT,WALMART STORES INC,Equity,0.60,71.09,"6,281,897.00","446,580,057.73","446,580,057.73",Consumer Staples,"2,936,921.00",US9311421039,New York Stock Exchange Inc.
SLB,SCHLUMBERGER NV,Equity,0.60,79.96,"5,567,125.00","445,147,315.00","445,147,315.00",Energy,"2,779,201.00",AN8068571086,New York Stock Exchange Inc.
MCD,MCDONALDS CORP,Equity,0.60,122.79,"3,609,985.00","443,270,058.15","443,270,058.15",Consumer Discretionary,"2,550,707.00",US5801351017,New York Stock Exchange Inc.
CVS,CVS HEALTH CORP,Equity,0.58,96.99,"4,398,277.00","426,588,886.23","426,588,886.23",Consumer Staples,"2,577,609.00",US1266501006,New York Stock Exchange Inc.
MMM,3M CO,Equity,0.56,170.13,"2,422,535.00","412,145,879.55","412,145,879.55",Industrials,"2,595,708.00",US88579Y1010,New York Stock Exchange Inc.
ABBV,ABBVIE INC,Equity,0.53,60.75,"6,451,286.00","391,915,624.50","391,915,624.50",Health Care,B92SR70,US00287Y1091,New York Stock Exchange Inc.
AGN,ALLERGAN,Equity,0.53,247.40,"1,580,309.00","390,968,446.60","390,968,446.60",Health Care,BY9D546,IE00BY9D5467,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,0.51,97.02,"3,925,976.00","380,898,191.52","380,898,191.52",Information Technology,B121557,US57636Q1040,New York Stock Exchange Inc.
HON,HONEYWELL INTERNATIONAL INC,Equity,0.49,117.21,"3,080,318.00","361,044,072.78","361,044,072.78",Industrials,"2,020,459.00",US4385161066,New York Stock Exchange Inc.
CELG,CELGENE CORP,Equity,0.45,106.13,"3,129,728.00","332,158,032.64","332,158,032.64",Health Care,"2,182,348.00",US1510201049,NASDAQ
BA,BOEING,Equity,0.45,133.10,"2,493,449.00","331,878,061.90","331,878,061.90",Industrials,"2,108,601.00",US0970231058,New York Stock Exchange Inc.
