1100 0.970564 -0.140543 -0.001428 -0.013962
1200 0.967570 -0.168036 -0.001569 -0.013518
1300 0.964282 -0.194588 -0.001722 -0.013020
1400 0.960676 -0.220088 -0.001889 -0.012465
1500 0.956721 -0.244417 -0.002070 -0.011848
1600 0.952388 -0.267448 -0.002267 -0.011165
1700 0.947645 -0.289047 -0.002481 -0.010414
1800 0.942458 -0.309074 -0.002712 -0.009592
1900 0.936791 -0.327384 -0.002961 -0.008697
2000 0.930607 -0.343831 -0.003229 -0.007728
2100 0.923868 -0.358269 -0.003517 -0.006687
2200 0.916533 -0.370553 -0.003825 -0.005575
2300 0.908560 -0.380548 -0.004154 -0.004398
2400 0.899910 -0.388128 -0.004504 -0.003161
2500 0.890539 -0.393184 -0.004874 -0.001875
2600 0.880408 -0.395628 -0.005264 -0.000551
2700 0.869477 -0.395398 -0.005674 0.000796
2800 0.857707 -0.392466 -0.006102 0.002149
2900 0.845065 -0.386839 -0.006546 0.003487
3000 0.831521 -0.378568 -0.007005 0.004788
3100 0.817048 -0.367751 -0.007474 0.006029
3200 0.801629 -0.354535 -0.007951 0.007183
3300 0.785252 -0.339113 -0.008432 0.008228
3400 0.767913 -0.321732 -0.008911 0.009138
3500 0.749621 -0.302680 -0.009384 0.009894
3600 0.730392 -0.282284 -0.009846 0.010478
3700 0.710258 -0.260901 -0.010290 0.010877
3800 0.689259 -0.238908 -0.010709 0.011086
3900 0.667450 -0.216686 -0.011098 0.011104
4000 0.644899 -0.194612 -0.011450 0.010939
4100 0.621684 -0.173040 -0.011760 0.010603
4200 0.597898 -0.152292 -0.012021 0.010117
4300 0.573641 -0.132643 -0.012229 0.009506
4400 0.549024 -0.114320 -0.012380 0.008797
4500 0.524164 -0.097487 -0.012471 0.008019
4600 0.499184 -0.082252 -0.012500 0.007204
4700 0.474206 -0.068662 -0.012467 0.006378
4800 0.449357 -0.056715 -0.012372 0.005566
4900 0.424757 -0.046357 -0.012217 0.004791
5000 0.400523 -0.037501 -0.012005 0.004067
5100 0.376766 -0.030031 -0.011741 0.003407
5200 0.353587 -0.023812 -0.011428 0.002818
5300 0.331075 -0.018700 -0.011073 0.002301
5400 0.309311 -0.014548 -0.010682 0.001857
5500 0.288360 -0.011217 -0.010260 0.001481
5600 0.268276 -0.008574 -0.009815 0.001168
5700 0.249101 -0.006500 -0.009352 0.000912
5800 0.230864 -0.004889 -0.008878 0.000705
5900 0.213583 -0.003650 -0.008398 0.000539
6000 0.197262 -0.002705 -0.007917 0.000409
6100 0.181900 -0.001992 -0.007441 0.000308
6200 0.167485 -0.001457 -0.006972 0.000230
6300 0.153997 -0.001060 -0.006514 0.000170
6400 0.141410 -0.000767 -0.006071 0.000125
6500 0.129694 -0.000552 -0.005644 0.000091
6600 0.118815 -0.000395 -0.005235 0.000066
6700 0.108734 -0.000282 -0.004846 0.000048
6800 0.099412 -0.000200 -0.004476 0.000034
6900 0.090807 -0.000141 -0.004128 0.000025
7000 0.082879 -0.000100 -0.003800 0.000017
7100 0.075585 -0.000070 -0.003494 0.000012
7200 0.068885 -0.000049 -0.003207 0.000009
7300 0.062738 -0.000034 -0.002940 0.000006
7400 0.057107 -0.000024 -0.002692 0.000004
7500 0.051952 -0.000017 -0.002463 0.000003
7600 0.047240 -0.000011 -0.002250 0.000002
7700 0.042936 -0.000008 -0.002055 0.000001
7800 0.039007 -0.000005 -0.001874 0.000001
7900 0.035425 -0.000004 -0.001709 0.000001
8000 0.032161 -0.000003 -0.001556 0.000000
8100 0.029189 -0.000002 -0.001417 0.000000
8200 0.026483 -0.000001 -0.001289 0.000000
8300 0.024022 -0.000001 -0.001172 0.000000
8400 0.021785 -0.000001 -0.001066 0.000000
8500 0.019752 -0.000000 -0.000968 0.000000
8600 0.017905 -0.000000 -0.000879 0.000000
8700 0.016228 -0.000000 -0.000798 0.000000
8800 0.014706 -0.000000 -0.000724 0.000000
8900 0.013324 -0.000000 -0.000657 0.000000
9000 0.012071 -0.000000 -0.000596 0.000000
9100 0.010935 -0.000000 -0.000541 0.000000
9200 0.009904 -0.000000 -0.000490 0.000000
9300 0.008969 -0.000000 -0.000444 0.000000
9400 0.008122 -0.000000 -0.000403 0.000000
9500 0.007355 -0.000000 -0.000365 0.000000
9600 0.006659 -0.000000 -0.000331 0.000000
9700 0.006029 -0.000000 -0.000300 0.000000
9800 0.005458 -0.000000 -0.000271 0.000000
9900 0.004941 -0.000000 -0.000246 0.000000
#interruption
0 0.990000 0.400100 -0.000495 -0.016810
100 0.988960 0.366535 -0.000546 -0.016752
200 0.987814 0.333099 -0.000602 -0.016681
300 0.986550 0.299820 -0.000663 -0.016594
400 0.985158 0.266731 -0.000731 -0.016491
500 0.983623 0.233868 -0.000805 -0.016367
600 0.981933 0.201274 -0.000887 -0.016222
700 0.980071 0.168995 -0.000977 -0.016051
800 0.978022 0.137085 -0.001075 -0.015852
900 0.975768 0.105605 -0.001182 -0.015621
1000 0.973289 0.074621 -0.001300 -0.015355
1100 0.970564 0.044207 -0.001428 -0.015049
1200 0.967570 0.014445 -0.001569 -0.014701
1300 0.964282 -0.014574 -0.001722 -0.014306
1400 0.960676 -0.042753 -0.001889 -0.013859
1500 0.956721 -0.069985 -0.002070 -0.013358
1600 0.952388 -0.096154 -0.002267 -0.012796
1700 0.947645 -0.121140 -0.002481 -0.012173
1800 0.942458 -0.144814 -0.002712 -0.011483
1900 0.936791 -0.167039 -0.002961 -0.010724
2000 0.930607 -0.187679 -0.003229 -0.009895
2100 0.923868 -0.206591 -0.003517 -0.008996
2200 0.916533 -0.223636 -0.003825 -0.008028
2300 0.908560 -0.238677 -0.004154 -0.006992
2400 0.899910 -0.251584 -0.004504 -0.005894
2500 0.890539 -0.262240 -0.004874 -0.004741
2600 0.880408 -0.270543 -0.005264 -0.003543
2700 0.869477 -0.276412 -0.005674 -0.002310
2800 0.857707 -0.279794 -0.006102 -0.001057
2900 0.845065 -0.280665 -0.006546 0.000197
3000 0.831521 -0.279041 -0.007005 0.001435
3100 0.817048 -0.274976 -0.007474 0.002634
3200 0.801629 -0.268569 -0.007951 0.003773
3300 0.785252 -0.259963 -0.008432 0.004828
3400 0.767913 -0.249346 -0.008911 0.005778
3500 0.749621 -0.236951 -0.009384 0.006603
3600 0.730392 -0.223046 -0.009846 0.007284
3700 0.710258 -0.207932 -0.010290 0.007808
3800 0.689259 -0.191933 -0.010709 0.008167
3900 0.667450 -0.175384 -0.011098 0.008357
4000 0.644899 -0.158618 -0.011450 0.008382
4100 0.621684 -0.141958 -0.011760 0.008251
4200 0.597898 -0.125702 -0.012021 0.007979
4300 0.573641 -0.110116 -0.012229 0.007585
4400 0.549024 -0.095419 -0.012380 0.007092
4500 0.524164 -0.081786 -0.012471 0.006525
4600 0.499184 -0.069339 -0.012500 0.005910
4700 0.474206 -0.058148 -0.012467 0.005272
4800 0.449357 -0.048238 -0.012372 0.004633
4900 0.424757 -0.039591 -0.012217 0.004012
5000 0.400523 -0.032154 -0.012005 0.003426
5100 0.376766 -0.025845 -0.011741 0.002886
5200 0.353587 -0.020565 -0.011428 0.002398
5300 0.331075 -0.016205 -0.011073 0.001968
5400 0.309311 -0.012648 -0.010682 0.001595
5500 0.288360 -0.009782 -0.010260 0.001277
5600 0.268276 -0.007500 -0.009815 0.001011
5700 0.249101 -0.005701 -0.009352 0.000792
5800 0.230864 -0.004300 -0.008878 0.000614
5900 0.213583 -0.003218 -0.008398 0.000472
6000 0.197262 -0.002391 -0.007917 0.000359
6100 0.181900 -0.001765 -0.007441 0.000271
6200 0.167485 -0.001294 -0.006972 0.000202
6300 0.153997 -0.000944 -0.006514 0.000150
6400 0.141410 -0.000684 -0.006071 0.000111
6500 0.129694 -0.000493 -0.005644 0.000081
6600 0.118815 -0.000354 -0.005235 0.000059
6700 0.108734 -0.000253 -0.004846 0.000043
6800 0.099412 -0.000180 -0.004476 0.000031
6900 0.090807 -0.000127 -0.004128 0.000022
7000 0.082879 -0.000090 -0.003800 0.000016
7100 0.075585 -0.000063 -0.003494 0.000011
7200 0.068885 -0.000044 -0.003207 0.000008
7300 0.062738 -0.000031 -0.002940 0.000006
7400 0.057107 -0.000022 -0.002692 0.000004
7500 0.051952 -0.000015 -0.002463 0.000003
7600 0.047240 -0.000010 -0.002250 0.000002
7700 0.042936 -0.000007 -0.002055 0.000001
7800 0.039007 -0.000005 -0.001874 0.000001
7900 0.035425 -0.000003 -0.001709 0.000001
8000 0.032161 -0.000002 -0.001556 0.000000
8100 0.029189 -0.000002 -0.001417 0.000000
8200 0.026483 -0.000001 -0.001289 0.000000
8300 0.024022 -0.000001 -0.001172 0.000000
8400 0.021785 -0.000001 -0.001066 0.000000
8500 0.019752 -0.000000 -0.000968 0.000000
8600 0.017905 -0.000000 -0.000879 0.000000
8700 0.016228 -0.000000 -0.000798 0.000000
8800 0.014706 -0.000000 -0.000724 0.000000
8900 0.013324 -0.000000 -0.000657 0.000000
9000 0.012071 -0.000000 -0.000596 0.000000
9100 0.010935 -0.000000 -0.000541 0.000000
9200 0.009904 -0.000000 -0.000490 0.000000
9300 0.008969 -0.000000 -0.000444 0.000000
9400 0.008122 -0.000000 -0.000403 0.000000
9500 0.007355 -0.000000 -0.000365 0.000000
9600 0.006659 -0.000000 -0.000331 0.000000
9700 0.006029 -0.000000 -0.000300 0.000000
9800 0.005458 -0.000000 -0.000271 0.000000
9900 0.004941 -0.000000 -0.000246 0.000000
#interruption
0 0.990000 0.600100 -0.000495 -0.017210
100 0.988960 0.565696 -0.000546 -0.017192
200 0.987814 0.531339 -0.000602 -0.017164
300 0.986550 0.497047 -0.000663 -0.017125
400 0.985158 0.462847 -0.000731 -0.017073
500 0.983623 0.428764 -0.000805 -0.017006
600 0.981933 0.394834 -0.000887 -0.016921
700 0.980071 0.361091 -0.000977 -0.016816
800 0.978022 0.327581 -0.001075 -0.016689
900 0.975768 0.294350 -0.001182 -0.016536
1000 0.973289 0.261455 -0.001300 -0.016353
1100 0.970564 0.228957 -0.001428 -0.016137
1200 0.967570 0.196926 -0.001569 -0.015885
1300 0.964282 0.165439 -0.001722 -0.015592
1400 0.960676 0.134582 -0.001889 -0.015254
1500 0.956721 0.104448 -0.002070 -0.014867
1600 0.952388 0.075139 -0.002267 -0.014428
1700 0.947645 0.046766 -0.002481 -0.013931
1800 0.942458 0.019447 -0.002712 -0.013373
1900 0.936791 -0.006694 -0.002961 -0.012751
2000 0.930607 -0.031526 -0.003229 -0.012063
2100 0.923868 -0.054914 -0.003517 -0.011306
2200 0.916533 -0.076719 -0.003825 -0.010480
2300 0.908560 -0.096806 -0.004154 -0.009587
2400 0.899910 -0.115041 -0.004504 -0.008628
2500 0.890539 -0.131296 -0.004874 -0.007608
2600 0.880408 -0.145458 -0.005264 -0.006534
2700 0.869477 -0.157426 -0.005674 -0.005416
2800 0.857707 -0.167122 -0.006102 -0.004264
2900 0.845065 -0.174492 -0.006546 -0.003093
3000 0.831521 -0.179515 -0.007005 -0.001919
3100 0.817048 -0.182201 -0.007474 -0.000761
3200 0.801629 -0.182604 -0.007951 0.000362
3300 0.785252 -0.180812 -0.008432 0.001429
3400 0.767913 -0.176960 -0.008911 0.002418
3500 0.749621 -0.171222 -0.009384 0.003311
3600 0.730392 -0.163808 -0.009846 0.004090
3700 0.710258 -0.154964 -0.010290 0.004738
3800 0.689259 -0.144959 -0.010709 0.005247
3900 0.667450 -0.134081 -0.011098 0.005610
4000 0.644899 -0.122623 -0.011450 0.005826
4100 0.621684 -0.110875 -0.011760 0.005900
4200 0.597898 -0.099113 -0.012021 0.005841
4300 0.573641 -0.087588 -0.012229 0.005664
4400 0.549024 -0.076519 -0.012380 0.005387
4500 0.524164 -0.066086 -0.012471 0.005031
4600 0.499184 -0.056426 -0.012500 0.004617
4700 0.474206 -0.047634 -0.012467 0.004166
4800 0.449357 -0.039762 -0.012372 0.003699
4900 0.424757 -0.032826 -0.012217 0.003234
5000 0.400523 -0.026806 -0.012005 0.002785
5100 0.376766 -0.021658 -0.011741 0.002364
5200 0.353587 -0.017319 -0.011428 0.001978
5300 0.331075 -0.013710 -0.011073 0.001634
5400 0.309311 -0.010748 -0.010682 0.001332
5500 0.288360 -0.008347 -0.010260 0.001073
5600 0.268276 -0.006425 -0.009815 0.000854
5700 0.249101 -0.004903 -0.009352 0.000672
5800 0.230864 -0.003711 -0.008878 0.000523
5900 0.213583 -0.002787 -0.008398 0.000404
6000 0.197262 -0.002078 -0.007917 0.000308
6100 0.181900 -0.001538 -0.007441 0.000233
6200 0.167485 -0.001131 -0.006972 0.000175
6300 0.153997 -0.000827 -0.006514 0.000131
6400 0.141410 -0.000601 -0.006071 0.000097
6500 0.129694 -0.000435 -0.005644 0.000071
6600 0.118815 -0.000313 -0.005235 0.000052
6700 0.108734 -0.000224 -0.004846 0.000038
6800 0.099412 -0.000160 -0.004476 0.000027
6900 0.090807 -0.000113 -0.004128 0.000019
7000 0.082879 -0.000080 -0.003800 0.000014
7100 0.075585 -0.000057 -0.003494 0.000010
7200 0.068885 -0.000040 -0.003207 0.000007
7300 0.062738 -0.000028 -0.002940 0.000005
7400 0.057107 -0.000019 -0.002692 0.000003
7500 0.051952 -0.000014 -0.002463 0.000002
7600 0.047240 -0.000009 -0.002250 0.000002
7700 0.042936 -0.000007 -0.002055 0.000001
7800 0.039007 -0.000005 -0.001874 0.000001
7900 0.035425 -0.000003 -0.001709 0.000001
8000 0.032161 -0.000002 -0.001556 0.000000
8100 0.029189 -0.000001 -0.001417 0.000000
8200 0.026483 -0.000001 -0.001289 0.000000
8300 0.024022 -0.000001 -0.001172 0.000000
8400 0.021785 -0.000000 -0.001066 0.000000
8500 0.019752 -0.000000 -0.000968 0.000000
